_id	style	bib	resBib	author	bookTitle	container	date	doi	edition	editor	journal	location	pages	publisher	title	translator	url	volume	total
5ab9ab5325f15f355762988e	diatom-research	Allen R. B. 2011. Weaving Content with Coordination Widgets. D-Lib Magazine 17. 	{:author=>"Allen R. B.", :date=>"2011.", :title=>"Weaving Content with Coordination Widgets. D-Lib", :booktitle=>"Magazine 17."}	33.0	88	-	0.000	-	-	-	-	-	-	-	15	-	-	-	34.0	
5ab9ab5325f15f355762988e	annual-reviews-author-date	Allen RB. 2011. Weaving Content with Coordination Widgets. D-Lib Magazine. 17(11/12): 	{:author=>"Allen RB.", :date=>"2011.", :title=>"Weaving Content with Coordination Widgets. D-Lib Magazine.", :url=>"17(11/12):"}	40.0	-	-	0.000	-	-	-	-	-	-	-	29	-	-	-	23.0	
5ab9ab5325f15f355762988e	journal-of-music-technology-and-education	 Allen, R. B. (2011), 'Weaving Content with Coordination Widgets', D-Lib Magazine, 17:11/12 https://doi.org/10.1045/november2011-allen 	{:author=>"Allen, R. B.", :date=>"(2011),", :title=>"'Weaving Content with Coordination Widgets', D-Lib", :journal=>"Magazine,", :volume=>"17: 11/12", :url=>"https://doi.org/10.1045/november2011-allen"}	33.5	-	-	0.000	-	-	-	50	-	-	-	18	-	-	78	35.9	
5ab9ab5325f15f355762988e	journal-of-antimicrobial-chemotherapy	1. Allen RB. Weaving Content with Coordination Widgets. D-Lib Magazine 2011; 17. Available at: https://doi.org/10.1045/november2011-allen. 	{:author=>"1. Allen RB.", :title=>"Weaving Content with Coordination Widgets. D-Lib Magazine", :date=>"2011; 17.", :note=>"Available at:", :url=>"https://doi.org/10.1045/november2011-allen."}	60.0	-	-	50	-	-	-	-	-	-	-	28	-	-	-	46.0	
5ab9ab5325f15f355762988e	culture-medicine-and-psychiatry	Allen, Robert B. 2011 Weaving Content with Coordination Widgets. D-Lib Magazine 17(11/12). D-Lib Magazine. Retrieved. from https://doi.org/10.1045/november2011-allen. 	{:author=>"Allen, Robert B.", :date=>"2011", :title=>"Weaving Content with Coordination Widgets. D-Lib Magazine 17(11/12). D-Lib Magazine.", :accessed=>"Retrieved. from", :url=>"https://doi.org/10.1045/november2011-allen."}	5.0	-	-	0.000	-	-	-	-	-	-	-	51	-	-	-	18.666666666666668	
5ab9ab5325f15f355762988e	associacao-brasileira-de-normas-tecnicas-ufmg-face-full	ALLEN, Robert B. Weaving Content with Coordination Widgets. D-Lib Magazine, D-Lib Magazine. v. 17, n. 11/12, 2011. Disponível em: <https://doi.org/10.1045/november2011-allen>. 	{:author=>"ALLEN, Robert B.", :title=>"Weaving Content with Coordination Widgets. D-Lib Magazine, D-Lib Magazine.", :journal=>"v.", :volume=>"17, n. 11/12,", :date=>"2011.", :note=>"Disponível em: <https://doi.org/10.1045/november2011-allen>."}	45.0	-	-	0.000	-	-	-	100	-	-	-	45	-	-	85	55.0	
5ab9ab5325f15f355762988e	memorias-do-instituto-oswaldo-cruz	Allen RB 2011. Weaving Content with Coordination Widgets. D-Lib Magazine 17. 	{:author=>"Allen RB", :date=>"2011.", :title=>"Weaving Content with Coordination Widgets. D-Lib", :booktitle=>"Magazine 17."}	47.0	88	-	0.000	-	-	-	-	-	-	-	15	-	-	-	37.5	
5ab9ab5325f15f355762988e	veterinary-pathology	1. Allen RB. Weaving Content with Coordination Widgets. 2011;17.  	{:author=>"1. Allen RB.", :title=>"Weaving Content with Coordination Widgets.", :date=>"2011;17."}	60.0	-	-	43	-	-	-	-	-	-	-	2	-	-	-	35.0	
5ab9ab5325f15f355762988e	the-journal-of-molecular-diagnostics	1.Allen RB. Weaving Content with Coordination Widgets. D-Lib Magazine, 2011, 17 	{:author=>"1.Allen RB.", :title=>"Weaving Content with Coordination Widgets. D-Lib", :journal=>"Magazine,", :volume=>"2011,", :pages=>"17"}	53.0	-	-	-	-	-	-	50	-	-	-	15	-	-	80	49.5	
5ab9ab5325f15f355762988e	computer-und-recht	Allen, Weaving Content with Coordination Widgets, 2011 	{:author=>"Allen,", :title=>"Weaving Content with Coordination Widgets,", :date=>"2011"}	67.0	-	-	0.000	-	-	-	-	-	-	-	2	-	-	-	23.0	
5ab9ab5325f15f355762988e	journal-of-the-american-college-of-cardiology	1. Allen RB. Weaving Content with Coordination Widgets. D-Lib Magazine 2011;17. Available at: https://doi.org/10.1045/november2011-allen. 	{:author=>"1. Allen RB.", :title=>"Weaving Content with Coordination Widgets. D-Lib", :booktitle=>"Magazine 2011;17. Available at:", :url=>"https://doi.org/10.1045/november2011-allen."}	60.0	80	-	-	-	-	-	-	-	-	-	15	-	-	-	51.666666666666664	
5ab9ab5325f15f355762988e	revue-d-elevage-et-de-medecine-veterinaire-des-pays-tropicaux	Allen R.B., 2011. Weaving Content with Coordination Widgets. D-Lib Magazine, 17 (11/12): , doi: 10.1045/november2011-allen 	{:author=>"Allen R.B.,", :date=>["2011.", "( 11/12):"], :title=>"Weaving Content with Coordination Widgets.", :journal=>"D-Lib Magazine,", :volume=>"17", :location=>",", :doi=>"doi: 10.1045/november2011-allen"}	40.0	-	-	0.000	16	-	-	7	5ab9b92b25f15f355762ea20	diatom-research	Alon N. & Fischer E. 1999. Refining the Graph Density Condition for the Existence of Almost K-factors. Ars Comb. 52. 	{:author=>"Alon N. & Fischer E.", :date=>"1999.", :title=>"Refining the Graph Density Condition for the Existence of Almost K-factors.", :journal=>"Ars Comb.", :volume=>"52."}	35.5	-	-	0.000	-	-	-	0	-	-	-	1	-	-	33	13.9	
5ab9b92b25f15f355762ea20	annual-reviews-author-date	Alon N, Fischer E. 1999. Refining the Graph Density Condition for the Existence of Almost K-factors. Ars Comb. 52: 	{:author=>"Alon N, Fischer E.", :date=>"1999.", :title=>"Refining the Graph Density Condition for the Existence of Almost K-factors.", :journal=>"Ars Comb.", :volume=>"52:"}	35.5	-	-	0.000	-	-	-	0	-	-	-	1	-	-	33	13.9	
5ab9b92b25f15f355762ea20	journal-of-music-technology-and-education	 Alon, N. and Fischer, E. (1999), 'Refining the Graph Density Condition for the Existence of Almost K-factors', Ars Comb., 52 	{:author=>"Alon, N. and Fischer, E.", :date=>"(1999),", :title=>"'Refining the Graph Density Condition for the Existence of Almost K-factors',", :journal=>"Ars Comb.,", :volume=>"52"}	62.333333333333336	-	-	0.000	-	-	-	10	-	-	-	4	-	-	0	15.26666666666667	
5ab9b92b25f15f355762ea20	journal-of-antimicrobial-chemotherapy	1. Alon N, Fischer E. Refining the Graph Density Condition for the Existence of Almost K-factors. Ars Comb 1999; 52. 	{:author=>"1. Alon N, Fischer E.", :title=>"Refining the Graph Density Condition for the Existence of Almost K-factors.", :journal=>"Ars Comb", :date=>"1999;", :pages=>"52."}	52.5	-	-	20	-	-	-	11	-	-	-	1	-	-	-	21.125	
5ab9b92b25f15f355762ea20	culture-medicine-and-psychiatry	Alon, Noga, and Eldar Fischer 1999 Refining the Graph Density Condition for the Existence of Almost K-factors. Ars Comb. 52. Ars Comb. 	{:author=>"Alon, Noga, and Eldar Fischer", :date=>"1999", :title=>"Refining the Graph Density Condition for the Existence of Almost K-factors.", :journal=>"Ars Comb. 52. Ars Comb."}	27.0	-	-	0.000	-	-	-	61	-	-	-	1	-	-	-	22.25	
5ab9b92b25f15f355762ea20	associacao-brasileira-de-normas-tecnicas-ufmg-face-full	ALON, Noga; FISCHER, Eldar. Refining the Graph Density Condition for the Existence of Almost K-factors. Ars Comb., Ars Comb. v. 52, 1999. 	{:author=>"ALON, Noga; FISCHER, Eldar.", :title=>"Refining the Graph Density Condition for the Existence of Almost K-factors.", :journal=>"Ars Comb., Ars Comb. v.", :volume=>"52,", :date=>"1999."}	82.0	-	-	0.000	-	-	-	61	-	-	-	1	-	-	33	35.4	
5ab99d1225f15f3557622b74	the-world-journal-of-biological-psychiatry	Anon. 2015. IEEE International Conference on Advanced Intelligent Mechatronics, AIM 2015, Busan, South Korea, July 7-11, 2015. IEEE Available from: http://ieeexplore.ieee.org/xpl/mostRecentIssue.jsp?punumber=7190945 	{:author=>"Anon. 2015.", :booktitle=>"IEEE International Conference on Advanced Intelligent Mechatronics, AIM 2015, Busan, South Korea,", :date=>"July 7-11, 2015.", :journal=>"IEEE Available", :accessed=>"from:", :url=>"http://ieeexplore.ieee.org/xpl/mostRecentIssue.jsp?punumber=7190945"}	14	-	71	-	-	-	-	-	-	-	-	-	-	-	42.5	
5ab99d1225f15f3557622b74	harvard-southampton-solent-university	ANON., 2015. IEEE International Conference on Advanced Intelligent Mechatronics, AIM 2015, Busan, South Korea, July 7-11, 2015 [online]. IEEE Available from: http://ieeexplore.ieee.org/xpl/mostRecentIssue.jsp?punumber=7190945 	{:author=>"ANON., 2015.", :booktitle=>"IEEE International Conference on Advanced Intelligent Mechatronics, AIM 2015, Busan, South Korea,", :date=>"July 7-11, 2015", :title=>"[online]. IEEE Available", :accessed=>"from:", :url=>"http://ieeexplore.ieee.org/xpl/mostRecentIssue.jsp?punumber=7190945"}	14	-	71	-	-	-	-	-	-	-	89	-	-	-	58.0	
5ab99d1225f15f3557622b74	the-auk	Anon (2015). IEEE International Conference on Advanced Intelligent Mechatronics, AIM 2015, Busan, South Korea, July 7-11, 2015. In. IEEE. 	{:author=>"Anon", :date=>"(2015).", :booktitle=>"IEEE International Conference on Advanced Intelligent Mechatronics, AIM 2015, Busan, South Korea, July 7-11,", :pages=>"2015.", :location=>"In.", :publisher=>"IEEE."}	4	-	0.000	-	-	-	-	5ab99d1225f15f3557622b75	diatom-research	IEEE International Conference on Advanced Intelligent Mechatronics, AIM 2016, Banff, AB, Canada, July 12-15, 2016 2016. . IEEE. 	{:booktitle=>"IEEE International Conference on Advanced Intelligent Mechatronics, AIM 2016,", :location=>"Banff, AB, Canada,", :date=>"July 12-15, 2016 2016.", :unknown=>".", :publisher=>"IEEE."}	32	-	80	-	-	-	-	5ab99d1f25f15f3557622bd4	diatom-research	12th International Conference on Intelligent Environments, IE 2016, London, United Kingdom, September 14-16, 2016 2016. . IEEE. 	{:booktitle=>"12th International Conference on Intelligent Environments, IE 2016,", :location=>"London, United", :author=>"Kingdom,", :date=>"September 14-16, 2016 2016.", :unknown=>".", :publisher=>"IEEE."}	41	-	84	-	-	-	-	5ab99d7d25f15f3557622eb9	diatom-research	8th IEEE International Conference on E-Science, e-Science 2012, Chicago, IL, USA, October 8-12, 2012 2012. . IEEE Computer Society. 	{:booktitle=>"8th IEEE International Conference on E-Science, e-Science 2012,", :location=>"Chicago, IL, USA,", :date=>"October 8-12, 2012 2012.", :unknown=>".", :publisher=>"IEEE Computer Society."}	37	-	82	-	-	-	-	5ab99d7d25f15f3557622eba	diatom-research	9th IEEE International Conference on eScience, eScience 2013, Beijing, China, October 22-25, 2013 2013. . IEEE Computer Society. 	{:booktitle=>"9th IEEE International Conference on eScience, eScience 2013,", :location=>"Beijing, China,", :date=>"October 22-25, 2013 2013.", :unknown=>".", :publisher=>"IEEE Computer Society."}	37	-	83	-	-	-	-	5ab99d7d25f15f3557622ebb	diatom-research	10th IEEE International Conference on e-Science, eScience 2014, Sao Paulo, Brazil, October 20-24, 2014 2014. . IEEE Computer Society. 	{:booktitle=>"10th IEEE International Conference on e-Science, eScience 2014, Sao Paulo,", :location=>"Brazil,", :date=>"October 20-24, 2014 2014.", :unknown=>".", :publisher=>"IEEE Computer Society."}	27	-	83	-	-	-	-	5ab99e3325f15f355762343a	diatom-research	2001 International Symposium on Information Technology (ITCC 2001), 2-4 April 2001, Las Vegas, NV, USA 2001. . IEEE Computer Society. 	{:date=>["2001", "2001),", "April 2001,", "2001."], :title=>["International Symposium on Information Technology (ITCC", "Las Vegas,"], :pages=>"2-4", :location=>"NV, USA", :unknown=>".", :publisher=>"IEEE Computer Society."}	-	-	0.000	-	-	-	-	5ab99e3f25f15f3557623495	diatom-research	IEEE Virtual Reality Conference 2002, VR ’02, Orlando, Florida, USA, March 24-28, 2002, Proceedings 2002. . IEEE Computer Society. 	{:booktitle=>"IEEE Virtual Reality Conference 2002, VR ’02,", :location=>"Orlando, Florida, USA,", :date=>"March", :title=>"24-28, 2002, Proceedings 2002. .", :publisher=>"IEEE Computer Society."}	55	-	100	-	-	-	-	5ab99e7925f15f3557623662	diatom-research	3rd International Conference on Face & Gesture Recognition (FG ’98), April 14-16, 1998, Nara, Japan 1998. . IEEE Computer Society. 	{:edition=>"3rd International", :title=>"Conference on Face & Gesture Recognition (FG ’98),", :date=>["April 14-16, 1998,", "1998."], :location=>"Nara, Japan", :unknown=>".", :publisher=>"IEEE Computer Society."}	-	-	75	-	-	-	-	5ab99ea525f15f35576237af	diatom-research	11th International Workshop on Content-Based Multimedia Indexing, CBMI 2013, Veszprém, Hungary, June 17-19, 2013 2013. . IEEE. 	{:booktitle=>"11th International Workshop on Content-Based Multimedia Indexing, CBMI 2013,", :location=>"Veszprém, Hungary,", :date=>["June", "2013 2013."], :pages=>"17-19,", :unknown=>".", :publisher=>"IEEE."}	32	-	100	-	-	-	-	5ab99ea525f15f35576237b0	diatom-research	12th International Workshop on Content-Based Multimedia Indexing, CBMI 2014, Klagenfurt, Austria, June 18-20, 2014 2014. . IEEE. 	{:booktitle=>"12th International Workshop on Content-Based Multimedia Indexing, CBMI 2014,", :location=>"Klagenfurt, Austria,", :date=>"June 18-20, 2014 2014.", :unknown=>".", :publisher=>"IEEE."}	33	-	80	-	-	-	-	5ab99ea525f15f35576237b4	diatom-research	14th International Workshop on Content-Based Multimedia Indexing, CBMI 2016, Bucharest, Romania, June 15-17, 2016 2016. . IEEE. 	{:booktitle=>"14th International Workshop on Content-Based Multimedia Indexing, CBMI 2016,", :location=>"Bucharest, Romania,", :date=>"June 15-17, 2016 2016.", :unknown=>".", :publisher=>"IEEE."}	33	-	80	-	-	-	-	5ab99ea525f15f35576237b5	diatom-research	Proceedings of the 15th International Workshop on Content-Based Multimedia Indexing, CBMI 2017, Florence, Italy, June 19-21, 2017 2017. . ACM. 	{:booktitle=>"Proceedings of the 15th International Workshop on Content-Based Multimedia Indexing, CBMI 2017,", :location=>"Florence, Italy,", :date=>"June 19-21, 2017 2017.", :unknown=>".", :publisher=>"ACM."}	26	-	80	-	-	-	-	5ab99ee525f15f3557623999	diatom-research	2009 IEEE International Workshop on Robotic and Sensors Environments, ROSE 2009, Lecco, Italy, November 6-7, 2009 2009. . IEEE. 	{:booktitle=>"2009 IEEE International Workshop on Robotic and Sensors Environments, ROSE 2009,", :location=>"Lecco, Italy,", :date=>"November 6-7, 2009 2009.", :unknown=>".", :publisher=>"IEEE."}	29	-	82	-	-	-	-	5ab99f1325f15f3557623aff	diatom-research	ICPP 2009, International Conference on Parallel Processing, Vienna, Austria, 22-25 September 2009 2009. . IEEE Computer Society. 	{:booktitle=>"ICPP 2009, International Conference on Parallel Processing,", :location=>"Vienna, Austria,", :pages=>"22-25", :date=>"September 2009 2009.", :unknown=>".", :publisher=>"IEEE Computer Society."}	39	-	79	-	-	-	-	5ab99f1425f15f3557623b06	diatom-research	32nd International Conference on Parallel Processing (ICPP 2003), 6-9 October 2003, Kaohsiung, Taiwan 2003. . IEEE Computer Society. 	{:booktitle=>"32nd International Conference on Parallel Processing (ICPP", :volume=>"2003),", :pages=>"6-9", :date=>"October", :title=>"2003, Kaohsiung, Taiwan 2003. .", :journal=>"IEEE Computer Society."}	43	-	100	-	-	-	-	-	-	-	85	-	-	-	76.0	
5ab99f1425f15f3557623b06	annual-reviews-author-date	32nd International Conference on Parallel Processing (ICPP 2003), 6-9 October 2003, Kaohsiung, Taiwan. 2003. IEEE Computer Society 	{:booktitle=>"32nd International Conference on Parallel Processing (ICPP", :volume=>"2003),", :pages=>"6-9", :date=>"October", :title=>"2003, Kaohsiung, Taiwan. 2003.", :journal=>"IEEE Computer Society"}	43	-	100	-	-	-	-	-	-	-	84	-	-	-	75.66666666666667	
5ab99f1425f15f3557623b06	journal-of-music-technology-and-education	 32nd International Conference on Parallel Processing (ICPP 2003), 6-9 October 2003, Kaohsiung, Taiwan, (2003),IEEE Computer Society. Retrieved from http://ieeexplore.ieee.org/xpl/mostRecentIssue.jsp?punumber=8782 	{:booktitle=>"32nd International Conference on Parallel Processing (ICPP", :volume=>"2003),", :pages=>"6-9", :date=>["October", "(2003),IEEE"], :title=>"2003,", :location=>"Kaohsiung, Taiwan,", :accessed=>"Computer Society. Retrieved from", :url=>"http://ieeexplore.ieee.org/xpl/mostRecentIssue.jsp?punumber=8782"}	43	-	100	-	-	-	-	5ab99f1425f15f3557623b0c	diatom-research	2007 International Conference on Parallel Processing (ICPP 2007), September 10-14, 2007, Xi-An, China 2007. . IEEE Computer Society. 	{:booktitle=>"2007 International Conference on Parallel Processing (ICPP", :date=>["2007), September", "2007."], :title=>"10-14,", :pages=>"2007,", :location=>"Xi-An, China", :unknown=>".", :publisher=>"IEEE Computer Society."}	43	-	71	-	-	-	-	5ab99f2425f15f3557623b84	diatom-research	Schwartz D. G. & Te’eni D. (eds) 2011. Encyclopedia of Knowledge Management, Second Edition. IGI Global. 	{:author=>"Schwartz D. G. & Te’eni D.", :date=>"(eds) 2011.", :title=>"Encyclopedia of Knowledge Management, Second Edition.", :publisher=>"IGI Global."}	29.5	-	-	50	-	-	-	-	-	-	9	-	2	-	-	-	22.625	
5ab99f2425f15f3557623b84	annual-reviews-author-date	Schwartz DG, Te’eni D, eds. 2011. Encyclopedia of Knowledge Management, Second Edition. IGI Global 	{:author=>"Schwartz DG,", :title=>["Te’eni D, eds.", "Encyclopedia of Knowledge Management, Second Edition."], :date=>"2011.", :publisher=>"IGI Global"}	27.0	-	-	0.000	-	-	-	-	-	-	0	-	87	-	-	-	28.5	
5ab99f2425f15f3557623b84	journal-of-music-technology-and-education	 Schwartz, D. G. and Te’eni, D. (Eds.) (2011), Encyclopedia of Knowledge Management, Second Edition, (D. G. Schwartz & D. Te’eni)IGI Global. https://doi.org/10.4018/978-1-59904-931-1 	{:author=>"Schwartz, D. G. and Te’eni, D. (Eds.)", :date=>"(2011),", :title=>"Encyclopedia of Knowledge Management, Second Edition,", :journal=>"(D. G. Schwartz & D. Te’eni)IGI Global.", :url=>"https://doi.org/10.4018/978-1-59904-931-1"}	60.666666666666664	-	-	0.000	-	-	-	-	-	-	-	2	-	-	-	20.88888888888889	
5ab99f2425f15f3557623b84	journal-of-antimicrobial-chemotherapy	1. Schwartz DG, Te’eni D eds. Encyclopedia of Knowledge Management, Second Edition. IGI Global; 2011. Available at: https://doi.org/10.4018/978-1-59904-931-1. 	{:author=>"1. Schwartz DG,", :title=>"Te’eni D eds. Encyclopedia of Knowledge Management, Second Edition.", :journal=>"IGI Global;", :date=>"2011.", :note=>"Available at:", :url=>"https://doi.org/10.4018/978-1-59904-931-1."}	43.0	-	-	0.000	-	-	-	-	-	-	-	22	-	-	-	21.666666666666668	
5ab99f2425f15f3557623b84	culture-medicine-and-psychiatry	Schwartz, David G., and Dov Te’eni, eds. 2011 Encyclopedia of Knowledge Management, Second Edition. IGI Global. Retrieved. from https://doi.org/10.4018/978-1-59904-931-1. 	{:author=>"Schwartz, David G., and Dov Te’eni,", :date=>"eds. 2011", :title=>"Encyclopedia of Knowledge Management, Second Edition.", :accessed=>"IGI Global. Retrieved. from", :url=>"https://doi.org/10.4018/978-1-59904-931-1."}	23.666666666666668	-	-	50	-	-	-	-	-	-	-	2	-	-	-	25.222222222222225	
5ab99f2425f15f3557623b84	associacao-brasileira-de-normas-tecnicas-ufmg-face-full	SCHWARTZ, David G.; TE’ENI, Dov (Org.). Encyclopedia of Knowledge Management, Second Edition. [S.l.]: IGI Global, 2011. Disponível em: <https://doi.org/10.4018/978-1-59904-931-1>.  	{:author=>"SCHWARTZ, David", :title=>"G.; TE’ENI, Dov (Org.). Encyclopedia of Knowledge Management, Second Edition. [S.l.]: IGI Global,", :date=>"2011.", :note=>"Disponível em: <https://doi.org/10.4018/978-1-59904-931-1>."}	92.0	-	-	0.000	-	-	-	-	-	-	-	46	-	-	-	46.0	
5ab99f2425f15f3557623b84	memorias-do-instituto-oswaldo-cruz	Schwartz DG, Te’eni D (Eds.) 2011. Encyclopedia of Knowledge Management, Second Edition. IGI Global. 	{:authority=>"Schwartz DG, Te’eni D (Eds.)", :date=>"2011.", :title=>"Encyclopedia of Knowledge Management, Second Edition.", :publisher=>"IGI Global."}	-	1000.0	-	-	0.000	-	-	-	-	-	-	9	-	2	-	-	-	252.75	
5ab99f2425f15f3557623b84	veterinary-pathology	1. Schwartz DG, Te’eni D, editors. Encyclopedia of Knowledge Management, Second Edition. IGI Global; 2011.  	{:author=>"1. Schwartz DG,", :title=>"Te’eni D, editors. Encyclopedia of Knowledge Management, Second Edition.", :journal=>"IGI Global;", :date=>"2011."}	43.0	-	-	0.000	-	-	-	-	-	-	-	28	-	-	-	23.666666666666668	
5ab99f2425f15f3557623b84	the-journal-of-molecular-diagnostics	1.Schwartz DG, Te’eni D, editors. Encyclopedia of Knowledge Management, Second Edition. IGI Global, 2011. https://doi.org/10.4018/978-1-59904-931-1 	{:title=>"1.Schwartz DG, Te’eni D, editors. Encyclopedia of Knowledge Management, Second Edition.", :journal=>"IGI Global,", :date=>"2011.", :pages=>"https://doi.org/10.4018/978-1-59904-931-1"}	-	1000.0	-	-	0.000	-	-	-	-	-	-	-	40	-	-	-	346.6666666666667	
5ab99f2425f15f3557623b84	computer-und-recht	Schwartz/Te’eni, Encyclopedia of Knowledge Management, Second Edition, 2011 	{:author=>"Schwartz/Te’eni,", :title=>"Encyclopedia of Knowledge Management,", :publisher=>"Second Edition,", :date=>"2011"}	47.0	-	-	0.000	-	-	-	-	-	-	93	-	29	-	-	-	42.25	
5ab99f2425f15f3557623b84	journal-of-the-american-college-of-cardiology	1. Schwartz DG, Te’eni D eds. Encyclopedia of Knowledge Management, Second Edition. IGI Global; 2011. Available at: https://doi.org/10.4018/978-1-59904-931-1. 	{:author=>"1. Schwartz DG,", :title=>"Te’eni D eds. Encyclopedia of Knowledge Management, Second Edition.", :journal=>"IGI Global;", :date=>"2011.", :note=>"Available at:", :url=>"https://doi.org/10.4018/978-1-59904-931-1."}	43.0	-	-	0.000	-	-	-	-	-	-	-	22	-	-	-	21.666666666666668	
5ab99f2425f15f3557623b84	revue-d-elevage-et-de-medecine-veterinaire-des-pays-tropicaux	Schwartz D.G., Te’eni D. (Eds.), 2011. Encyclopedia of Knowledge Management, Second Edition. IGI Global,  	{:editor=>"Schwartz D.G., Te’eni D. (Eds.),", :date=>"2011.", :title=>"Encyclopedia of Knowledge Management, Second Edition.", :publisher=>"IGI Global,"}	-	1000.0	-	-	0.000	-	-	100.0000	-	-	-	9	-	2	-	-	-	175.5	
5ab99f2425f15f3557623b84	scandinavian-journal-of-work-environment-and-health	1. Schwartz DG, Te’eni D, editors. Encyclopedia of Knowledge Management, Second Edition [Internet]. IGI Global; 2011. Available from: https://doi.org/10.4018/978-1-59904-931-1 	{:author=>"1. Schwartz DG,", :title=>"Te’eni D, editors. Encyclopedia of Knowledge Management, Second Edition [Internet]. IGI Global;", :date=>"2011.", :accessed=>"Available from:", :url=>"https://doi.org/10.4018/978-1-59904-931-1"}	43.0	-	-	0.000	-	-	-	-	-	-	-	45	-	-	-	29.333333333333332	
5ab99f2425f15f3557623b84	genome-biology-and-evolution	Schwartz DG, Te’eni D, eds. 2011. Encyclopedia of Knowledge Management, Second Edition. IGI Global doi: 10.4018/978-1-59904-931-1. 	{:author=>"Schwartz DG,", :title=>["Te’eni D, eds.", "Encyclopedia of Knowledge Management, Second Edition."], :date=>"2011.", :journal=>"IGI Global", :doi=>"doi:", :pages=>"10.4018/978-1-59904-931-1."}	27.0	-	-	0.000	100	-	-	-	-	-	-	87	-	-	-	53.5	
5ab99f2425f15f3557623b84	harvard-university-of-gloucestershire	Schwartz, D.G. & Te’eni, D. (Eds.) (2011) Encyclopedia of Knowledge Management, Second Edition, IGI Global Available from: <https://doi.org/10.4018/978-1-59904-931-1> [Accessed:  	{:author=>"Schwartz, D.G. & Te’eni, D. (Eds.)", :date=>"(2011)", :title=>"Encyclopedia of Knowledge Management, Second Edition, IGI Global Available from:", :url=>"<https://doi.org/10.4018/978-1-59904-931-1>", :publisher=>"[Accessed:"}	48.0	-	-	0.000	-	-	-	-	-	-	100	-	35	-	-	-	45.75	
5ab99f2425f15f3557623b84	monash-university-harvard	Schwartz, DG & Te’eni, D (eds.) 2011, Encyclopedia of Knowledge Management, Second Edition, D. G. Schwartz & D. Te’eni, IGI Global, doi: 10.4018/978-1-59904-931-1 	{:author=>"Schwartz, DG & Te’eni,", :authority=>"D", :date=>"(eds.) 2011,", :title=>"Encyclopedia of Knowledge Management,", :editor=>"Second Edition, D. G. Schwartz & D.", :booktitle=>"Te’eni, IGI Global,", :doi=>"doi: 10.4018/978-1-59904-931-1"}	34.0	88	-	50	17	-	100.0000	-	-	-	-	29	-	-	-	174.14285714285714	
5ab99f2425f15f3557623b84	social-cognitive-and-affective-neuroscience	Schwartz, D.G., Te’eni, D. eds. (2011). Encyclopedia of Knowledge Management, Second Edition. IGI Global. 	{:author=>"Schwartz, D.G., Te’eni, D. eds.", :date=>"(2011).", :title=>"Encyclopedia of Knowledge Management, Second Edition.", :publisher=>"IGI Global."}	44.25	-	-	0.000	-	-	-	-	-	-	9	-	2	-	-	-	13.8125	
5ab99f2425f15f3557623b84	the-world-journal-of-biological-psychiatry	Schwartz DG, Te’eni D eds. 2011. Encyclopedia of Knowledge Management, Second Edition. IGI Global Available from: https://doi.org/10.4018/978-1-59904-931-1 	{:author=>"Schwartz DG,", :title=>["Te’eni D eds.", "Encyclopedia of Knowledge Management, Second Edition. IGI Global Available from:"], :date=>"2011.", :url=>"https://doi.org/10.4018/978-1-59904-931-1"}	27.0	-	-	0.000	-	-	-	-	-	-	-	88	-	-	-	38.333333333333336	
5ab99f2425f15f3557623b84	harvard-southampton-solent-university	SCHWARTZ, D.G. and D. TE’ENI, eds., 2011. Encyclopedia of Knowledge Management, Second Edition [online]. IGI Global Available from: https://doi.org/10.4018/978-1-59904-931-1 	{:author=>"SCHWARTZ, D.G. and D. TE’ENI,", :date=>"eds., 2011.", :title=>"Encyclopedia of Knowledge Management, Second Edition [online]. IGI Global Available from:", :url=>"https://doi.org/10.4018/978-1-59904-931-1"}	89.0	-	-	50	-	-	-	-	-	-	-	42	-	-	-	60.333333333333336	
5ab99f2425f15f3557623b84	the-auk	Schwartz, D. G., and D. Te’eni (Editors) (2011). Encyclopedia of Knowledge Management, Second Edition. In. IGI Global. doi: 10.4018/978-1-59904-931-1 	{:author=>"Schwartz, D. G., and D. Te’eni (Editors)", :date=>"(2011).", :title=>"Encyclopedia of Knowledge Management, Second Edition. In. IGI Global.", :doi=>"doi: 10.4018/978-1-59904-931-1"}	46.0	-	-	0.000	17	-	-	-	-	-	-	25	-	-	-	22.0	
5ab99f2425f15f3557623b84	magnetic-resonance-in-medicine	1. Schwartz DG, Te’eni D eds. Encyclopedia of Knowledge Management, Second Edition. IGI Global; 2011. doi: 10.4018/978-1-59904-931-1. 	{:author=>"1. Schwartz DG,", :title=>"Te’eni D eds. Encyclopedia of Knowledge Management, Second Edition.", :journal=>"IGI Global;", :date=>"2011.", :doi=>"doi:", :pages=>"10.4018/978-1-59904-931-1."}	43.0	-	-	0.000	100	-	-	-	-	-	-	22	-	-	-	41.25	
5ab99f2425f15f3557623b84	national-science-foundation-grant-proposals	1. “Encyclopedia of Knowledge Management, Second Edition” (2011): doi:10.4018/978-1-59904-931-1, Available at https://doi.org/10.4018/978-1-59904-931-1  	{:author=>"1.", :title=>"“Encyclopedia of Knowledge Management, Second Edition”", :date=>"( 2011):", :doi=>"doi:10.4018/978-1-59904-931-1,", :note=>"Available at https://doi.org/10.4018/978-1-59904-931-1"}	100.0	-	-	33	17	-	-	-	-	-	-	4	-	-	-	38.5	
